epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,592.024,0.23143,0.17517,0.83905,0.99148,0.97732,0.97952,0.92492,0.30299,0.2074,0.86133,0.00178,0.00178,0.00178
139,596.195,0.23204,0.18105,0.8379,0.99243,0.9771,0.97914,0.92241,0.30196,0.21313,0.86068,0.00172,0.00172,0.00172
140,600.425,0.23597,0.17952,0.84213,0.98339,0.97362,0.97543,0.921,0.3019,0.22071,0.86188,0.00166,0.00166,0.00166
141,605.078,0.1249,0.10457,0.79845,0.98027,0.97317,0.97374,0.91565,0.30911,0.2284,0.86472,0.0016,0.0016,0.0016
142,609.378,0.12601,0.10605,0.79847,0.97848,0.97418,0.97497,0.91266,0.31296,0.22389,0.86363,0.00154,0.00154,0.00154
143,613.697,0.11677,0.10076,0.79696,0.97894,0.97261,0.9705,0.91188,0.31227,0.2264,0.8646,0.00148,0.00148,0.00148
144,617.831,0.111,0.09714,0.79612,0.97987,0.97142,0.97149,0.91545,0.31208,0.22713,0.8642,0.00142,0.00142,0.00142
145,621.982,0.10865,0.09447,0.7963,0.97975,0.97215,0.97442,0.92209,0.30931,0.22523,0.86411,0.00136,0.00136,0.00136
146,626.111,0.10843,0.09416,0.79632,0.97977,0.97152,0.97485,0.92192,0.30616,0.22035,0.86546,0.0013,0.0013,0.0013
147,630.259,0.10439,0.09056,0.79598,0.97972,0.97207,0.97504,0.92247,0.30866,0.22381,0.86419,0.00124,0.00124,0.00124
148,634.499,0.09817,0.08784,0.79537,0.97683,0.96946,0.97388,0.92147,0.3035,0.22352,0.86168,0.00118,0.00118,0.00118
149,638.686,0.09638,0.0849,0.7946,0.98291,0.97339,0.97542,0.92161,0.30615,0.22491,0.86395,0.00112,0.00112,0.00112
150,642.828,0.09644,0.08531,0.79463,0.9831,0.97297,0.9754,0.9224,0.30258,0.22131,0.86317,0.00106,0.00106,0.00106
